RD,3.515
CB,5.375
GA,5.329
WO,6.39
SX,5.422
ET,8.14
SE,4.171
PA,4.937
HX,8.719
IO,2.765
AN,5.359
LX,4.282
PR,19.438000000000002
NM,2.984
 ,3.343
MI,2.593
TG,8.109
HM,4.969
LR,4.313
VA,3.64
SB,4.204
GR,6.968
OF,5.531
WC,2.64
XF,6.812
IH,3.421
ML,9.328
FJ,9.328
AP,4.141
GT,6.313
GT,6.313
 ,7.64
MV,5.078
NE,5.859
LS,6.765
VE,4.297
QN,3.766
OR,7.313
NC,4.828
 ,2.672
XP,5.281
AV,3.0
AV,3.0
PT,4.734
VJ,4.922
IQ,8.875
ND,9.922
OP,3.812
MW,4.141
MW,4.141
 ,2.219
IB,3.14
IE,3.531
IR,5.047
RV,9.953
RV,9.953
